PATTERN;SEQ;ALL_TIME;TAB_TIME
500000;100000000;0,701;0,007
1000000;100000000;0,726;0,015
1500000;100000000;0,717;0,025
2000000;100000000;0,734;0,037
2500000;100000000;0,734;0,04
3000000;100000000;0,743;0,042
3500000;100000000;1,806;0,048
4000000;100000000;1,81;0,063
4500000;100000000;0,75;0,065
5000000;100000000;0,751;0,073
5500000;100000000;0,771;0,089
6000000;100000000;1,843;0,101
6500000;100000000;0,768;0,092
7000000;100000000;1,801;0,097
7500000;100000000;0,789;0,108
8000000;100000000;0,786;0,129
8500000;100000000;0,78;0,132
9000000;100000000;0,773;0,134
9500000;100000000;1,662;0,148
10000000;100000000;0,827;0,167
10500000;100000000;0,797;0,151
11000000;100000000;1,606;0,153
11500000;100000000;1,648;0,162
12000000;100000000;0,824;0,197
12500000;100000000;0,813;0,202
13000000;100000000;0,814;0,193
13500000;100000000;0,831;0,204
14000000;100000000;0,828;0,208
14500000;100000000;1,629;0,216
15000000;100000000;0,808;0,212
15500000;100000000;1,615;0,218
16000000;100000000;0,811;0,217
16500000;100000000;0,826;0,233
17000000;100000000;0,813;0,229
17500000;100000000;0,814;0,231
18000000;100000000;0,852;0,272
18500000;100000000;0,872;0,279
19000000;100000000;0,877;0,288
19500000;100000000;0,876;0,296
20000000;100000000;1,692;0,297
20500000;100000000;1,674;0,306
21000000;100000000;0,89;0,316
21500000;100000000;0,886;0,308
22000000;100000000;0,881;0,312
22500000;100000000;0,893;0,32
23000000;100000000;0,888;0,328
23500000;100000000;0,896;0,332
24000000;100000000;0,879;0,328
24500000;100000000;0,888;0,334
25000000;100000000;0,887;0,343
25500000;100000000;0,902;0,347
26000000;100000000;1,672;0,346
26500000;100000000;1,67;0,357
27000000;100000000;0,955;0,422
27500000;100000000;0,983;0,444
28000000;100000000;0,977;0,434
28500000;100000000;0,986;0,453
29000000;100000000;0,997;0,46
29500000;100000000;0,99;0,459
30000000;100000000;0,995;0,461
30500000;100000000;0,996;0,471
31000000;100000000;0,985;0,459
31500000;100000000;1,007;0,485
32000000;100000000;0,994;0,475
32500000;100000000;1,839;0,51
33000000;100000000;0,997;0,481
33500000;100000000;1,845;0,511
34000000;100000000;1,81;0,508
34500000;100000000;1,039;0,536
35000000;100000000;1,031;0,516
35500000;100000000;1,828;0,524
36000000;100000000;1,828;0,523
36500000;100000000;1,812;0,52
37000000;100000000;1,003;0,515
37500000;100000000;1,036;0,547
38000000;100000000;1,852;0,562
38500000;100000000;1,059;0,584
39000000;100000000;1,036;0,553
39500000;100000000;1,704;0,564
40000000;100000000;1,691;0,573
40500000;100000000;1,149;0,676
41000000;100000000;1,109;0,648
41500000;100000000;1,144;0,667
42000000;100000000;1,146;0,675
42500000;100000000;1,156;0,687
43000000;100000000;1,145;0,694
43500000;100000000;1,135;0,684
44000000;100000000;1,115;0,676
44500000;100000000;1,101;0,674
45000000;100000000;1,704;0,664
45500000;100000000;1,108;0,671
46000000;100000000;1,096;0,676
46500000;100000000;1,154;0,714
47000000;100000000;1,138;0,708
47500000;100000000;1,178;0,732
48000000;100000000;1,168;0,743
48500000;100000000;1,14;0,713
49000000;100000000;1,144;0,73
49500000;100000000;1,174;0,759
50000000;100000000;1,118;0,716
50500000;100000000;1,116;0,717
51000000;100000000;1,143;0,745
51500000;100000000;1,811;0,763
52000000;100000000;1,149;0,74
52500000;100000000;1,167;0,772
53000000;100000000;1,13;0,743
53500000;100000000;1,151;0,774
54000000;100000000;1,717;0,753
54500000;100000000;1,816;0,819
55000000;100000000;1,167;0,785
55500000;100000000;1,772;0,799
56000000;100000000;1,799;0,813
56500000;100000000;1,766;0,798
57000000;100000000;1,753;0,788
57500000;100000000;1,153;0,798
58000000;100000000;1,793;0,805
58500000;100000000;1,232;0,835
59000000;100000000;1,824;0,84
59500000;100000000;1,175;0,825
60000000;100000000;1,668;0,824
60500000;100000000;1,163;0,815
61000000;100000000;1,315;0,965
61500000;100000000;1,319;0,971
62000000;100000000;1,327;0,981
62500000;100000000;1,816;1,003
63000000;100000000;1,286;0,955
63500000;100000000;1,3;0,974
64000000;100000000;1,296;0,973
64500000;100000000;1,839;1,015
65000000;100000000;1,87;1,031
65500000;100000000;1,378;1,057
66000000;100000000;1,86;1,032
66500000;100000000;1,386;1,076
67000000;100000000;1,414;1,094
67500000;100000000;1,375;1,066
68000000;100000000;1,343;1,036
68500000;100000000;1,365;1,047
69000000;100000000;1,364;1,063
69500000;100000000;1,347;1,047
70000000;100000000;1,339;1,045
70500000;100000000;1,326;1,04
71000000;100000000;1,838;1,06
71500000;100000000;1,793;1,051
72000000;100000000;1,786;1,041
72500000;100000000;1,314;1,045
73000000;100000000;1,778;1,052
73500000;100000000;1,356;1,088
74000000;100000000;1,361;1,092
74500000;100000000;1,361;1,089
75000000;100000000;1,381;1,114
75500000;100000000;1,77;1,103
76000000;100000000;1,362;1,104
76500000;100000000;1,768;1,116
77000000;100000000;1,731;1,085
77500000;100000000;1,795;1,139
78000000;100000000;1,817;1,177
78500000;100000000;1,529;1,282
79000000;100000000;1,895;1,262
79500000;100000000;1,795;1,192
80000000;100000000;1,705;1,115
80500000;100000000;1,748;1,138
81000000;100000000;1,817;1,202
81500000;100000000;1,81;1,199
82000000;100000000;1,418;1,194
82500000;100000000;1,414;1,205
83000000;100000000;1,413;1,195
83500000;100000000;1,464;1,265
84000000;100000000;1,831;1,288
84500000;100000000;1,43;1,24
85000000;100000000;1,808;1,221
85500000;100000000;1,494;1,298
86000000;100000000;1,812;1,291
86500000;100000000;1,393;1,205
87000000;100000000;1,437;1,258
87500000;100000000;1,442;1,271
88000000;100000000;1,426;1,249
88500000;100000000;1,746;1,261
89000000;100000000;1,423;1,253
89500000;100000000;1,488;1,318
90000000;100000000;1,381;1,225
90500000;100000000;1,407;1,244
91000000;100000000;1,985;1,508
91500000;100000000;1,725;1,541
92000000;100000000;1,671;1,498
92500000;100000000;2,023;1,572
93000000;100000000;1,633;1,492
93500000;100000000;1,635;1,494
94000000;100000000;1,94;1,506
94500000;100000000;1,917;1,513
95000000;100000000;1,782;1,627
95500000;100000000;1,657;1,531
96000000;100000000;1,604;1,479
96500000;100000000;1,672;1,536
97000000;100000000;1,869;1,51
97500000;100000000;1,609;1,495
98000000;100000000;1,933;1,549
98500000;100000000;1,676;1,558
99000000;100000000;1,691;1,576
99500000;100000000;1,659;1,543
